,sentence #,rule #,text,corrected,ranking
65750,15148,4287.0,"For present purposes, the key point is that the Court adopted the foregoing interpretation of subparagraph (i) precisely in order to give meaning to each of the subpara- graphs of Section 2518(10)(a) and to avoid rendering any of them surplusage.",The key point is that the Court adopted the foregoing interpretation of subparagraph (i) precisely in order to give meaning to each of the subpara- graphs of Section 2518(10)(a) and to avoid rendering any of them surplusage.,"5 - The revision is more concise by removing unnecessary phrase ""For present purposes,"" and maintains the original meaning."
65751,15149,4287.0,"For present purposes, the key point is that the Court adopted the foregoing interpretation of subparagraph (i) precisely in order to give meaning to each of the subpara- graphs of Section 2518(10)(a) and to avoid rendering any of them surplusage.","For now, the key point is that the Court adopted the foregoing interpretation of subparagraph (i) precisely in order to give meaning to each of the subpara- graphs of Section 2518(10)(a) and to avoid rendering any of them surplusage.",3
65758,17438,4290.0,"See, e.g., City of New York, 717 F.3d at 100 (""[I]f any judge were to find a witness's testimony incredible [at] a bench trial ..., that would not prevent that judge from determining the facts at future bench trials ... , even though a similar assessment of the witness's credibility would be likely."").","See, e.g., City of New York, 717 F.3d at 100 (""[I]f any judge were to find a witness's testimony incredible [at] a bench trial ..., that judge could still determine the facts at future bench trials ... , even though a similar assessment of the witness's credibility would be likely."").",4
65938,16438,4314.0,But the Federal Circuit read Section 289 as entitling a design-patent holder to nothing less than the entire profits on a product bearing a patented design-no matter how minor the component to which the design is applied and no matter how little the design contributes to the product's overall value.,But the Federal Circuit read Section 289 as entitling a design-patent holder to the entire profits on a product bearing a patented design-no matter how minor the component to which the design is applied and no matter how little the design contributes to the product's overall value.,3
65939,16439,4314.0,But the Federal Circuit read Section 289 as entitling a design-patent holder to nothing less than the entire profits on a product bearing a patented design-no matter how minor the component to which the design is applied and no matter how little the design contributes to the product's overall value.,But the Federal Circuit read Section 289 as entitling a design-patent holder to only the entire profits on a product bearing a patented design-no matter how minor the component to which the design is applied and no matter how little the design contributes to the product's overall value.,"1 - The revision made the sentence more confusing and less accurate. The use of ""only"" changes the meaning of the sentence."
65996,13766,4320.0,"And at the risk of stating the obvious, the FDCPA exists to protect the in­ terests of consumers, not creditors.","And at the risk of stating the obvious, the FDCPA protects the in­ terests of consumers, not creditors.",5 - The revision is more concise and maintains the original meaning.
65997,13767,4320.0,"And at the risk of stating the obvious, the FDCPA exists to protect the in­ terests of consumers, not creditors.","And at the risk of stating the obvious, the Seeks to protect the in­ terests of consumers, not creditors.",1 - The revision is less clear because it omits the subject (FDCPA) of the sentence.
65998,13768,4320.0,"And at the risk of stating the obvious, the FDCPA exists to protect the in­ terests of consumers, not creditors.","And at the risk of stating the obvious, the FDCPA supports protecting the in­ terests of consumers, not creditors.",3
65999,13769,4320.0,"And at the risk of stating the obvious, the FDCPA exists to protect the in­ terests of consumers, not creditors.","And at the risk of stating the obvious, the FDCPA can protect the in­ terests of consumers, not creditors.",3
66001,17426,4323.0,Defendants fail to address any of the foregoing cases (except to criticize this,Defendants address none of the foregoing cases (except to criticize this,4
66007,17427,4327.0,Defendants fail to address any of the foregoing cases (except to criticize this,Defendants address no of the foregoing cases (except to criticize this,4
66014,14275,4330.0,"See American Herit- age Dictionary 1214 (4th ed. 2000) (defining ""obtain"" as ""[t]o succeed in gaining possession of as the result of plan- ning or endeavor; acquire""); 10 Oxford English Diction- ary 669 (2d ed. 1989) (defining ""obtain"" as ""[t]o come into the possession or enjoyment of (something) by one's own effort, or by request"").","See American Herit- age Dictionary 1214 (4th ed. 2000) (defining ""obtain"" as ""[t]o gain possession of as the result of plan- ning or endeavor; acquire""); 10 Oxford English Diction- ary 669 (2d ed. 1989) (defining ""obtain"" as ""[t]o come into the possession or enjoyment of (something) by one's own effort, or by request"").",3
66015,14276,4330.0,"See American Herit- age Dictionary 1214 (4th ed. 2000) (defining ""obtain"" as ""[t]o succeed in gaining possession of as the result of plan- ning or endeavor; acquire""); 10 Oxford English Diction- ary 669 (2d ed. 1989) (defining ""obtain"" as ""[t]o come into the possession or enjoyment of (something) by one's own effort, or by request"").","See American Herit- age Dictionary 1214 (4th ed. 2000) (defining ""obtain"" as ""[t]o manage to gain possession of as the result of plan- ning or endeavor; acquire""); 10 Oxford English Diction- ary 669 (2d ed. 1989) (defining ""obtain"" as ""[t]o come into the possession or enjoyment of (something) by one's own effort, or by request"").",3
66017,16429,4335.0,"Proof of an industrywide practice of misstating purchase prices may very well have led the jury to question the reasonableness of Mr. Norris's professed belief in Mr. Litvak's statement, a consideration central to its determination of materiality on Count 4.","Proof of an industrywide practice of misstating purchase prices may have led the jury to question the reasonableness of Mr. Norris's professed belief in Mr. Litvak's statement, a consideration central to its determination of materiality on Count 4.",4
66212,14799,4357.0,But that is insufficient to justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,But that cannot justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,3
66213,14800,4357.0,But that is insufficient to justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,But that is not enough to justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,3
66214,14801,4357.0,But that is insufficient to justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,But that can never justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,3
66215,15967,4357.0,But that principle alone is insufficient to overcome the government's failure to present a sound theory of materiality.,But that principle alone cannot overcome the government's failure to present a sound theory of materiality.,3
66216,15968,4357.0,But that principle alone is insufficient to overcome the government's failure to present a sound theory of materiality.,But that principle alone is not enough to overcome the government's failure to present a sound theory of materiality.,3
66217,15969,4357.0,But that principle alone is insufficient to overcome the government's failure to present a sound theory of materiality.,But that principle alone can never overcome the government's failure to present a sound theory of materiality.,2
66492,14233,4419.0,"The term ""owe"" means ""to be under obligation to pay or render,"" or ""to be indebted to or for.""","The term ""owe"" means ""to be obliged to pay or render,"" or ""to be indebted to or for.""",3
66493,14234,4419.0,"The term ""owe"" means ""to be under obligation to pay or render,"" or ""to be indebted to or for.""","The term ""owe"" means ""to be obligated to pay or render,"" or ""to be indebted to or for.""",4
66582,17272,4429.0,"Defendants did nothing to disprove that the undisclosed defects on these loans were ""part and parcel"" of the larger market decline.","Defendants did not disprove that the undisclosed defects on these loans were ""part and parcel"" of the larger market decline.",4
66583,17273,4429.0,"Defendants did nothing to disprove that the undisclosed defects on these loans were ""part and parcel"" of the larger market decline.","Defendants failed to disprove that the undisclosed defects on these loans were ""part and parcel"" of the larger market decline.",3
66584,17274,4429.0,"Defendants did nothing to disprove that the undisclosed defects on these loans were ""part and parcel"" of the larger market decline.","Defendants never disproved that the undisclosed defects on these loans were ""part and parcel"" of the larger market decline.",3
66798,14613,4439.0,"In determining the amount of the award, the SEC considers a number of factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-","In determining the amount of the award, the SEC considers many factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-",3
66799,14614,4439.0,"In determining the amount of the award, the SEC considers a number of factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-","In determining the amount of the award, the SEC considers several factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-",3
66800,14615,4439.0,"In determining the amount of the award, the SEC considers a number of factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-","In determining the amount of the award, the SEC considers some factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-","1 - The revision replaces ""a number of"" with ""some,"" which does not improve clarity, conciseness, or accuracy."
66801,14616,4439.0,"In determining the amount of the award, the SEC considers a number of factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-","In determining the amount of the award, the SEC considers factors: specifically, ""the significance of the information provided by the whistleblower to the success"" of the cov- ered action; ""the degree of assistance"" provided by the whistleblower; and ""the programmatic interest of the Commission in deterring violations of the securities laws by making awards to whistleblowers who provide infor-",4
66808,17584,4442.0,"Newhall rightly concluded that the new rates violated Proposition 26 because a fixed fee based on the retail agency's consumption of water bore no reasonable costof-service relationship to the defendant's supply of imported water, as the fee was in significant part based on demand for","Newhall rightly concluded that the new rates violated Proposition 26 because a fixed fee based on the retail agency's consumption of water bore no reasonable costof-service relationship to the defendant's supply of imported water, as the fee was largely based on demand for",4
66809,17585,4442.0,"Newhall rightly concluded that the new rates violated Proposition 26 because a fixed fee based on the retail agency's consumption of water bore no reasonable costof-service relationship to the defendant's supply of imported water, as the fee was in significant part based on demand for","Newhall rightly concluded that the new rates violated Proposition 26 because a fixed fee based on the retail agency's consumption of water bore no reasonable costof-service relationship to the defendant's supply of imported water, as the fee largely was based on demand for",3
66936,17453,4444.0,"As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is an integral part of the system by which Metropolitan transports water to its member agencies.""","As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is vital to the system by which Metropolitan transports water to its member agencies.""",3
66937,17454,4444.0,"As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is an integral part of the system by which Metropolitan transports water to its member agencies.""","As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is central to the system by which Metropolitan transports water to its member agencies.""",3
66938,17455,4444.0,"As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is an integral part of the system by which Metropolitan transports water to its member agencies.""","As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is part of the system by which Metropolitan transports water to its member agencies.""",4
66939,17456,4444.0,"As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is an integral part of the system by which Metropolitan transports water to its member agencies.""","As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is essential to the system by which Metropolitan transports water to its member agencies.""",3
66940,17457,4444.0,"As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is an integral part of the system by which Metropolitan transports water to its member agencies.""","As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is integral to the system by which Metropolitan transports water to its member agencies.""",4
66941,17458,4444.0,"As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is an integral part of the system by which Metropolitan transports water to its member agencies.""","As the Court of Appeal correctly found, ""[t]he California Aqueduct unquestionably is pivotal to the system by which Metropolitan transports water to its member agencies.""",3
67058,14797,4484.0,But that is insufficient to justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,But that cannot justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,3
67059,14798,4484.0,But that is insufficient to justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,But that cannot by itself justify defer- ence in the face of such plain text even under the most steroidal understanding of Chevron-especially given the existing protections under the Sarbanes-Oxley Act for employees who report internally.,3
67157,15302,4493.0,A. The permissibility of electronic surveillance was the subject of intense national debate in the years leading up to Title III's enactment.,A. The permissibility of electronic surveillance was the subject of intense national debate in the years before Title III's enactment.,4
67158,15303,4493.0,A. The permissibility of electronic surveillance was the subject of intense national debate in the years leading up to Title III's enactment.,A. The permissibility of electronic surveillance was the subject of intense national debate in the years just before Title III's enactment.,3
67203,17436,4499.0,Br. 113) that the district court would not be able to depart from its prior rulings and findings.,Br. 113) that the district court would be unable to depart from its prior rulings and findings.,3
67204,17437,4499.0,Br. 113) that the district court would not be able to depart from its prior rulings and findings.,Br. 113) that the district court would not depart from its prior rulings and findings.,"5 - The revision is clearer and more concise, removing the unnecessary phrase ""be able to""."
67736,13904,4530.0,"16 n.26) that, at least in this case, petitioner knew that there was a valid limitations de- fense.","16 n.26) that, at least , petitioner knew that there was a valid limitations de- fense.","1 - The revision removed the phrase ""in this case,"" which is crucial for context and specificity. The removal makes the sentence less clear."
67737,13905,4530.0,"16 n.26) that, at least in this case, petitioner knew that there was a valid limitations de- fense.","16 n.26) that, at least here , petitioner knew that there was a valid limitations de- fense.",4
67738,13906,4530.0,"16 n.26) that, at least in this case, petitioner knew that there was a valid limitations de- fense.","16 n.26) that, at least petitioner knew that there was a valid limitations de- fense.","1 - The revision removes the phrase ""in this case,"" which makes the sentence less specific and potentially changes the original meaning."
67739,15519,4530.0,"Of course, in light of the plain text of Section 2518 (10)(a)(ii), the Court need not consider whether violations of the territorial-jurisdiction limitation more generally, or the particular violations at issue in this case, constitute ""fundamental defects"" that warrant suppression.","Of course, in light of the plain text of Section 2518 (10)(a)(ii), the Court need not consider whether violations of the territorial-jurisdiction limitation more generally, or the particular violations at issue , constitute ""fundamental defects"" that warrant suppression.","1 - The revision removes important information (""in this case"") which makes the sentence less clear."
67740,15520,4530.0,"Of course, in light of the plain text of Section 2518 (10)(a)(ii), the Court need not consider whether violations of the territorial-jurisdiction limitation more generally, or the particular violations at issue in this case, constitute ""fundamental defects"" that warrant suppression.","Of course, in light of the plain text of Section 2518 (10)(a)(ii), the Court need not consider whether violations of the territorial-jurisdiction limitation more generally, or the particular violations at issue here , constitute ""fundamental defects"" that warrant suppression.",3
67741,15521,4530.0,"Of course, in light of the plain text of Section 2518 (10)(a)(ii), the Court need not consider whether violations of the territorial-jurisdiction limitation more generally, or the particular violations at issue in this case, constitute ""fundamental defects"" that warrant suppression.","Of course, in light of the plain text of Section 2518 (10)(a)(ii), the Court need not consider whether violations of the territorial-jurisdiction limitation more generally, or the particular violations at issue constitute ""fundamental defects"" that warrant suppression.",3
67742,15765,4530.0,"In the retrial in this case, Mr. Litvak was convicted of conduct that was not a crime.","In the retrial , Mr. Litvak was convicted of conduct that was not a crime.",3
67743,15766,4530.0,"In the retrial in this case, Mr. Litvak was convicted of conduct that was not a crime.","In the retrial here , Mr. Litvak was convicted of conduct that was not a crime.",3
67744,15767,4530.0,"In the retrial in this case, Mr. Litvak was convicted of conduct that was not a crime.",In the retrial Mr. Litvak was convicted of conduct that was not a crime.,4
67745,15828,4530.0,"In the earlier appeal in this case, the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.","In the earlier appeal , the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.",3
67746,15829,4530.0,"In the earlier appeal in this case, the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.","In the earlier appeal here , the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.",3
67747,15830,4530.0,"In the earlier appeal in this case, the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.","In the earlier appeal the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.",3
67748,15920,4530.0,"The court stressed that ""[d]eception about negotiating positions- about reserve prices and other terms and their relative importance-should not be considered material,"" because ""negotiating parties, and certainly the sophisticated businessmen in this case, do not expect complete candor about negotiating positions.""","The court stressed that ""[d]eception about negotiating positions- about reserve prices and other terms and their relative importance-should not be considered material,"" because ""negotiating parties, and certainly the sophisticated businessmen , do not expect complete candor about negotiating positions.""",3
67749,15921,4530.0,"The court stressed that ""[d]eception about negotiating positions- about reserve prices and other terms and their relative importance-should not be considered material,"" because ""negotiating parties, and certainly the sophisticated businessmen in this case, do not expect complete candor about negotiating positions.""","The court stressed that ""[d]eception about negotiating positions- about reserve prices and other terms and their relative importance-should not be considered material,"" because ""negotiating parties, and certainly the sophisticated businessmen here , do not expect complete candor about negotiating positions.""",3
67750,15922,4530.0,"The court stressed that ""[d]eception about negotiating positions- about reserve prices and other terms and their relative importance-should not be considered material,"" because ""negotiating parties, and certainly the sophisticated businessmen in this case, do not expect complete candor about negotiating positions.""","The court stressed that ""[d]eception about negotiating positions- about reserve prices and other terms and their relative importance-should not be considered material,"" because ""negotiating parties, and certainly the sophisticated businessmen do not expect complete candor about negotiating positions.""",3
67751,16064,4530.0,"transactions in this case, including the transaction underlying Count 4, Jefferies ""was acting exclusively as a principal, and not as an agent.""","transactions , including the transaction underlying Count 4, Jefferies ""was acting exclusively as a principal, and not as an agent.""",4
67752,16065,4530.0,"transactions in this case, including the transaction underlying Count 4, Jefferies ""was acting exclusively as a principal, and not as an agent.""","transactions here , including the transaction underlying Count 4, Jefferies ""was acting exclusively as a principal, and not as an agent.""",3
67753,16066,4530.0,"transactions in this case, including the transaction underlying Count 4, Jefferies ""was acting exclusively as a principal, and not as an agent.""","transactions including the transaction underlying Count 4, Jefferies ""was acting exclusively as a principal, and not as an agent.""",4
69260,13391,4533.0,The complaint in this case appears to have been a form com­ plaint; respondent's counsel misspelled her first name as,The complaint appears to have been a form com­ plaint; respondent's counsel misspelled her first name as,3
69261,13392,4533.0,The complaint in this case appears to have been a form com­ plaint; respondent's counsel misspelled her first name as,The complaint here appears to have been a form com­ plaint; respondent's counsel misspelled her first name as,3
69262,13421,4533.0,2 The court of appeals considered this case together with another case in which the same district court had subsequently relied on the reasoning of its decision in this case.,2 The court of appeals considered this case together with another case in which the same district court had subsequently relied on the reasoning of its decision .,3
69263,13422,4533.0,2 The court of appeals considered this case together with another case in which the same district court had subsequently relied on the reasoning of its decision in this case.,2 The court of appeals considered this case together with another case in which the same district court had subsequently relied on the reasoning of its decision here .,3
69264,13877,4533.0,"All the Court needs to do in this case is to hold that, whatever the propriety of certain practices outside bankruptcy, there is nothing improper about engaging in a practice that the Code specifically in- vites.","All the Court needs to do is to hold that, whatever the propriety of certain practices outside bankruptcy, there is nothing improper about engaging in a practice that the Code specifically in- vites.",3
69265,13878,4533.0,"All the Court needs to do in this case is to hold that, whatever the propriety of certain practices outside bankruptcy, there is nothing improper about engaging in a practice that the Code specifically in- vites.","All the Court needs to do here is to hold that, whatever the propriety of certain practices outside bankruptcy, there is nothing improper about engaging in a practice that the Code specifically in- vites.",3
69266,13907,4533.0,"16 n.26) that, at least in this case, petitioner knew that there was a valid limitations de- fense.","16 n.26) that, at least , petitioner knew that there was a valid limitations de- fense.","1 - The revision removed the phrase ""in this case,"" which is important for context and specificity. The removal makes the sentence less clear."
69267,13908,4533.0,"16 n.26) that, at least in this case, petitioner knew that there was a valid limitations de- fense.","16 n.26) that, at least here , petitioner knew that there was a valid limitations de- fense.",4
69268,13978,4533.0,"In addition, the debtor in this case was represented by counsel; indeed, respondent's attorney filed an objection to the proof of claim.","In addition, the debtor was represented by counsel; indeed, respondent's attorney filed an objection to the proof of claim.",3
69269,13979,4533.0,"In addition, the debtor in this case was represented by counsel; indeed, respondent's attorney filed an objection to the proof of claim.","In addition, the debtor here was represented by counsel; indeed, respondent's attorney filed an objection to the proof of claim.",3
69270,14430,4533.0,The complaint in this case does not come close to alleging that respondent regularly attempts to collect debts it services for others.,The complaint does not come close to alleging that respondent regularly attempts to collect debts it services for others.,5 - The revision is more concise and maintains the original meaning.
69271,14431,4533.0,The complaint in this case does not come close to alleging that respondent regularly attempts to collect debts it services for others.,The complaint here does not come close to alleging that respondent regularly attempts to collect debts it services for others.,3
69272,14635,4533.0,That principle applies with full force in this case.,That principle applies with full force .,"1 - The revision removes important information, making the sentence less clear."
69273,14636,4533.0,That principle applies with full force in this case.,That principle applies with full force here .,4
69274,14814,4533.0,"All the Court need do in this case is to reaffirm the fa- miliar principle that, where the language of a statute is plain and does not produce absurd results, the plain lan- guage should be given effect.","All the Court need do is to reaffirm the fa- miliar principle that, where the language of a statute is plain and does not produce absurd results, the plain lan- guage should be given effect.",4
69275,14815,4533.0,"All the Court need do in this case is to reaffirm the fa- miliar principle that, where the language of a statute is plain and does not produce absurd results, the plain lan- guage should be given effect.","All the Court need do here is to reaffirm the fa- miliar principle that, where the language of a statute is plain and does not produce absurd results, the plain lan- guage should be given effect.",4
69276,15008,4533.0,"The court of ap- peals' interpretation is irreconcilable with the plain text of Title III and the Court's decisions construing the statute, and its judgments in this case should therefore be re- versed.","The court of ap- peals' interpretation is irreconcilable with the plain text of Title III and the Court's decisions construing the statute, and its judgments should therefore be re- versed.",4
69277,15009,4533.0,"The court of ap- peals' interpretation is irreconcilable with the plain text of Title III and the Court's decisions construing the statute, and its judgments in this case should therefore be re- versed.","The court of ap- peals' interpretation is irreconcilable with the plain text of Title III and the Court's decisions construing the statute, and its judgments here should therefore be re- versed.",3
69278,15065,4533.0,2 Then-Judge Gorsuch participated in the oral argument but not the decisions in this case.,2 Then-Judge Gorsuch participated in the oral argument but not the decisions .,3
69279,15066,4533.0,2 Then-Judge Gorsuch participated in the oral argument but not the decisions in this case.,2 Then-Judge Gorsuch participated in the oral argument but not the decisions here .,3
69280,15079,4533.0,"Confronted with a similar facial insufficiency in that case, the D.C. Circuit reached two dispositive holdings, both of which di- verged from the Tenth Circuit's holdings in this case.","Confronted with a similar facial insufficiency in that case, the D.C. Circuit reached two dispositive holdings, both of which di- verged from the Tenth Circuit's holdings .",3
69281,15080,4533.0,"Confronted with a similar facial insufficiency in that case, the D.C. Circuit reached two dispositive holdings, both of which di- verged from the Tenth Circuit's holdings in this case.","Confronted with a similar facial insufficiency in that case, the D.C. Circuit reached two dispositive holdings, both of which di- verged from the Tenth Circuit's holdings here .",3
69282,15096,4533.0,"Even under the ""core con- cerns"" test, the court of appeals' judgments in this case cannot stand.","Even under the ""core con- cerns"" test, the court of appeals' judgments cannot stand.",3
69283,15097,4533.0,"Even under the ""core con- cerns"" test, the court of appeals' judgments in this case cannot stand.","Even under the ""core con- cerns"" test, the court of appeals' judgments here cannot stand.",3
69284,15367,4533.0,"The court of appeals' contrary conclu- sion cannot be sustained, and its judgments in this case should therefore be reversed.","The court of appeals' contrary conclu- sion cannot be sustained, and its judgments should therefore be reversed.",4
69285,15368,4533.0,"The court of appeals' contrary conclu- sion cannot be sustained, and its judgments in this case should therefore be reversed.","The court of appeals' contrary conclu- sion cannot be sustained, and its judgments here should therefore be reversed.",3
69286,15369,4533.0,The wiretap orders obtained by the government in this case were facially insufficient because they concededly vi- olated the requirement that the issuing judge authorize the interception of communications only within the court's territorial jurisdiction.,The wiretap orders obtained by the government were facially insufficient because they concededly vi- olated the requirement that the issuing judge authorize the interception of communications only within the court's territorial jurisdiction.,4
69287,15370,4533.0,The wiretap orders obtained by the government in this case were facially insufficient because they concededly vi- olated the requirement that the issuing judge authorize the interception of communications only within the court's territorial jurisdiction.,The wiretap orders obtained by the government here were facially insufficient because they concededly vi- olated the requirement that the issuing judge authorize the interception of communications only within the court's territorial jurisdiction.,3
69288,15504,4533.0,"Perhaps for that reason, while the government con- tends that Title III's suppression remedy incorporates an (again atextual) good-faith exception, see Br. 30, it has not argued that any good-faith exception would apply in this case and in fact waives that argument before this Court.","Perhaps for that reason, while the government con- tends that Title III's suppression remedy incorporates an (again atextual) good-faith exception, see Br. 30, it has not argued that any good-faith exception would apply and in fact waives that argument before this Court.",3
69289,15505,4533.0,"Perhaps for that reason, while the government con- tends that Title III's suppression remedy incorporates an (again atextual) good-faith exception, see Br. 30, it has not argued that any good-faith exception would apply in this case and in fact waives that argument before this Court.","Perhaps for that reason, while the government con- tends that Title III's suppression remedy incorporates an (again atextual) good-faith exception, see Br. 30, it has not argued that any good-faith exception would apply here and in fact waives that argument before this Court.",3
69290,15515,4533.0,"A fortiori, the government cannot contend that any mistake by the issu- ing court-seemingly induced by the government itself- means the resulting violations in this case are not ""funda- mental.""","A fortiori, the government cannot contend that any mistake by the issu- ing court-seemingly induced by the government itself- means the resulting violations are not ""funda- mental.""",3
69291,15516,4533.0,"A fortiori, the government cannot contend that any mistake by the issu- ing court-seemingly induced by the government itself- means the resulting violations in this case are not ""funda- mental.""","A fortiori, the government cannot contend that any mistake by the issu- ing court-seemingly induced by the government itself- means the resulting violations here are not ""funda- mental.""",3
69292,15522,4533.0,"According to the government, because the evidence introduced at trial in this case was","According to the government, because the evidence introduced at trial was",3
69293,15523,4533.0,"According to the government, because the evidence introduced at trial in this case was","According to the government, because the evidence introduced at trial here was",3
69294,15584,4533.0,"The indictment in this case was filed in the District of Connecticut on January 25, 2013.","The indictment was filed in the District of Connecticut on January 25, 2013.",5 - The revision is more concise and maintains the original meaning.
69295,15585,4533.0,"The indictment in this case was filed in the District of Connecticut on January 25, 2013.","The indictment here was filed in the District of Connecticut on January 25, 2013.",3
69296,15594,4533.0,"The institutional investors involved in this case worked with between roughly ten and thirty broker-dealers, including Jefferies.","The institutional investors involved worked with between roughly ten and thirty broker-dealers, including Jefferies.",4
69297,15595,4533.0,"The institutional investors involved in this case worked with between roughly ten and thirty broker-dealers, including Jefferies.","The institutional investors involved here worked with between roughly ten and thirty broker-dealers, including Jefferies.",4
69298,15768,4533.0,"In the retrial in this case, Mr. Litvak was convicted of conduct that was not a crime.","In the retrial , Mr. Litvak was convicted of conduct that was not a crime.",3
69299,15769,4533.0,"In the retrial in this case, Mr. Litvak was convicted of conduct that was not a crime.","In the retrial here , Mr. Litvak was convicted of conduct that was not a crime.",3
69300,15783,4533.0,The Court did not definitively address that question in its earlier opinion in this case.,The Court did not definitively address that question in its earlier opinion .,3
69301,15784,4533.0,The Court did not definitively address that question in its earlier opinion in this case.,The Court did not definitively address that question in its earlier opinion here .,3
69302,15831,4533.0,"In the earlier appeal in this case, the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.","In the earlier appeal , the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.",3
69303,15832,4533.0,"In the earlier appeal in this case, the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.","In the earlier appeal here , the Court held that, based ""on the trial record before [the Court]"" at that time, a rational jury could have found Mr. Litvak's misstatements material.",3
69304,15888,4533.0,"To be sure, in its earlier decision in this case, the Court identified three potential grounds for distinguishing between Feinman and Mr. Litvak's case.","To be sure, in its earlier decision , the Court identified three potential grounds for distinguishing between Feinman and Mr. Litvak's case.",3
69305,15889,4533.0,"To be sure, in its earlier decision in this case, the Court identified three potential grounds for distinguishing between Feinman and Mr. Litvak's case.","To be sure, in its earlier decision here , the Court identified three potential grounds for distinguishing between Feinman and Mr. Litvak's case.",3
69306,15915,4533.0,"Particularly relevant here is United States v. Weimert, 819 F.3d 351 (2016), decided by the Seventh Circuit after the earlier appeal in this case.","Particularly relevant here is United States v. Weimert, 819 F.3d 351 (2016), decided by the Seventh Circuit after the earlier appeal .",3
69307,15916,4533.0,"Particularly relevant here is United States v. Weimert, 819 F.3d 351 (2016), decided by the Seventh Circuit after the earlier appeal in this case.","Particularly relevant here is United States v. Weimert, 819 F.3d 351 (2016), decided by the Seventh Circuit after the earlier appeal here .",3
